,Closing Price,EMA,HighPass,Sign,next
0,468.174011,468.174011,468.174011,-1,-1
1,456.859985,465.9112058,365.487988,-1,-1
2,427.834991,458.29596284,269.1703952,-1,-1
3,423.29599,451.295968272,211.70511536,-1,-1
4,412.425995,443.5219736176,160.668096288,-1,-1
5,406.915985,436.20077589408,124.1264690304,1,1
6,441.557007,437.272022115264,127.01399282432,-1,-1
7,436.112,437.040017692211,97.2551886594562,-1,-1
8,423.519989,434.336011953769,67.7305421275649,-1,-1
9,414.937988,430.456407163015,47.318832902052,-1,-1
10,406.622986,425.689722930412,31.2030647216416,-1,-1
11,401.016998,420.75517794433,20.4776613773132,-1,-1
12,385.210999,413.646342155464,3.73732990185058,1,1
13,390.97699,409.112471724371,7.60265672148044,1,1
14,391.378998,405.565776979497,6.40373177718439,-1,-1
15,385.497009,401.552023383598,0.417394221747463,-1,-1
16,377.695007,396.780620106878,-5.90768622260202,-1,-1
17,364.487,390.321896085503,-15.2925545780816,-1,-1
18,341.800995,380.617715868402,-30.3828476624653,1,1
19,345.134003,373.520973294722,-21.6398717299722,-1,-1
20,339.247009,366.666180435777,-22.0214925839778,1,1
21,354.364014,364.205747148622,-5.52359006718225,1,1
22,382.726013,367.909800318898,18.2707271462542,-1,-1
23,375.066986,369.341237455118,8.48936011700334,-1,-1
24,367.19101,368.911191964094,0.490707293602691,1,1
25,379.433014,371.015556371276,10.1861690348821,1,1
26,397.226013,376.25764769702,22.3833344279057,1,1
27,411.697998,383.345717757616,29.4842555423245,-1,-1
28,402.22699,387.121972206093,16.0105980338597,-1,-1
29,398.807007,389.458979164875,10.0724920270877,-1,-1
30,385.477997,388.6627827319,-2.60521437832981,1,1
31,395.15799,389.96182418552,5.65982289733611,-1,-1
32,393.938995,390.757258348416,3.55266231786886,-1,-1
33,390.084015,390.622609678733,-0.241854145704883,1,1
34,392.645996,391.027286942986,1.85610148343608,-1,-1
35,388.575989,390.537027354389,-1.77112441325116,-1,-1
36,385.048004,389.439222683511,-4.23928753060095,-1,-1
37,364.345001,384.420378346809,-19.9538324244807,-1,-1
38,359.860992,379.508501077447,-19.5502731395846,-1,-1
39,359.221008,375.451002461958,-16.1522057116677,-1,-1
40,358.631989,372.087199769566,-13.3929797693342,1,1
41,359.984009,369.666561615653,-9.63276781546733,-1,-1
42,357.833008,367.299850892522,-9.42701505237387,-1,-1
43,350.912994,364.022479514018,-13.0776232418991,-1,-1
44,348.045013,360.826986211214,-12.7564833935193,-1,-1
